tradein_btn1,11 128гб фиолетовый 🍏,tradein_11_128_purple
tradein_btn2,11 128гб черный 🍏,tradein_11_128_black
tradein_btn3,11 128гб черный 🍏,tradein_11pm_256_black
tradein_btn4,11PM 256 черный 🍏,tradein_11pm_256_black_2
tradein_btn5,11PM 256гб 🍏,tradein_11pm_256_
tradein_btn6,12 64гб 🍏,tradein_12_64_
tradein_btn7,12 128гб 🍏,tradein_12_128_
tradein_btn8,12PM 256 белый 🍏,tradein_12pm_256_white
tradein_btn9,12PM 256гб золотой 🍏,tradein_12pm_256_gold
tradein_btn10,12PM 256гб синий 🍏,tradein_12pm_256_blue
tradein_btn11,13 256гб 🍏,tradein_13_256_
tradein_btn12,13 Pro цвет 🍏,tradein_13pro_
tradein_btn13,14PM 256 фиолетовый 🍏,tradein_14PM_256_purple
tradein_btn14,15PM 256 черный 🍏,tradein_15pm_256_black
